silence_start,silence_end,token_text,token_start,token_end,onset_error_sec
317.567625,318.00175,It,318.042,318.082,0.04024999999995771
320.670313,321.0635,Number,321.081,321.281,0.017500000000040927
321.826188,322.089187,Necron,322.144,322.525,0.054813000000024203
323.756937,324.116938,A,324.15,324.171,0.03306199999997261
328.198937,328.569687,The,328.541,328.621,-0.028686999999990803
330.392625,330.792687,That’s,330.772,331.034,-0.020687000000009448
332.597562,332.98925,Tomb,332.97,333.331,-0.019249999999999545
338.733125,339.270125,rooms,339.301,339.602,0.030874999999980446
345.182875,345.574125,Whether,345.561,345.802,-0.013125000000002274
352.302063,352.712312,The,352.701,352.781,-0.011311999999975342
355.555313,355.956937,That,355.971,356.151,0.014063000000021475
361.208937,361.586313,A,361.611,361.631,0.024686999999971704
363.191375,363.55375,Warriors,363.582,363.984,0.028250000000014097
364.589187,364.97,Twenty,364.951,365.192,-0.019000000000005457
365.624188,365.897125,later,365.975,366.236,0.07787500000000591
369.07625,369.517313,Progress,369.511,370.052,-0.0063129999999773645
373.347375,373.768313,The,373.74,373.82,-0.028312999999968724
378.901187,379.19075,shifting,379.207,379.608,0.016250000000013642
380.97125,381.410625,through,380.97,381.19,-0.4406249999999545
389.17675,389.571563,The,389.541,389.621,-0.030563000000029206
390.533437,390.80775,found,390.848,391.109,0.04025000000001455
393.00125,393.374875,The,393.38,393.48,0.005125000000020918
402.952,403.333375,The,403.321,403.401,-0.012374999999963165
406.55325,406.979312,It,407.001,407.041,0.021687999999983276
409.75625,410.074375,rather,410.114,410.395,0.03962500000000091
411.36375,411.778687,Number,411.821,412.022,0.04231300000003557
413.512812,413.885688,Cadia,413.871,414.212,-0.014688000000035117
419.763625,420.057938,are,420.087,420.167,0.029062000000010357
424.005313,424.375438,Navigation,424.411,425.032,0.03556200000002718
432.277062,432.66075,Helmsmen,432.661,433.164,0.0002499999999940883
433.254625,433.527562,on,433.586,433.626,0.05843800000002375
436.109625,436.487375,Ships,436.52,436.881,0.03262499999999591
443.367563,443.778063,Some,443.832,443.993,0.053937000000019
444.733313,445.142,For,445.181,445.361,0.03899999999998727
447.976125,448.261625,the,448.249,448.329,-0.012624999999957254
449.693125,450.037563,as,450.093,450.174,0.05543700000004037
452.458062,452.8525,During,452.821,453.022,-0.03149999999999409
454.513875,454.988313,corruption,454.951,455.432,-0.037312999999983276
462.16425,462.5805,Equipment,462.611,463.014,0.030500000000017735
465.493063,465.895062,Soldiers,465.951,466.472,0.05593800000002602
474.36725,474.636563,and,474.727,474.867,0.0904369999999517
477.332063,477.737188,These,477.711,477.912,-0.026187999999990552
480.400312,480.815063,They,480.792,480.893,-0.023063000000036027
482.141563,482.530125,They,482.51,482.631,-0.020125000000007276
486.512438,486.782688,without,486.778,487.099,-0.004687999999987369
487.627063,488.009875,Cadian,488.0,488.401,-0.009875000000022283
492.200312,492.548063,They,492.55,492.691,0.0019369999999980791
497.28125,497.6555,That,497.661,497.841,0.005499999999983629
503.954563,504.22625,most,504.301,504.522,0.07474999999999454
506.820562,507.21325,The,507.192,507.253,-0.021250000000009095
508.643563,509.043563,They,509.031,509.171,-0.012563000000000102
510.542625,510.962125,already,510.996,511.276,0.03387499999996635
512.394,512.805563,Number,512.822,513.023,0.01643699999999626
