seg_display,word,token_start,orig_silence_start_-45,orig_silence_end_-45,orig_onset_error_-45,end_-50.0,err_-50.0,method_-50.0,end_-45.0,err_-45.0,method_-45.0,end_-40.0,err_-40.0,method_-40.0,end_-35.0,err_-35.0,method_-35.0,end_-30.0,err_-30.0,method_-30.0
383,You,1192.522,1190.602375,1191.070125,1.4518749999999727,1191.068625,1.4533749999998236,overlap,1191.070125,1.4518749999999727,overlap,1191.070125,1.4518749999999727,overlap,1191.07025,1.4517499999999472,overlap,1191.070375,1.4516249999999218,overlap
307,You,929.335,926.76625,927.196375,2.1386250000000473,927.196312,2.138688000000002,overlap,927.196375,2.1386250000000473,overlap,927.196375,2.1386250000000473,overlap,927.196438,2.1385620000000927,overlap,927.197437,2.137563,overlap
154,When,456.245,455.451875,455.845687,0.39931300000000647,455.845625,0.39937500000002046,overlap,455.845687,0.39931300000000647,overlap,455.845687,0.39931300000000647,overlap,455.84575,0.399249999999995,overlap,456.283875,-0.038875000000018645,overlap
130,The,394.594,393.591063,394.2195,0.3745000000000118,394.219438,0.374561999999969,overlap,394.2195,0.3745000000000118,overlap,394.219562,0.37443799999999783,overlap,394.622875,-0.02887500000002774,overlap,394.644063,-0.05006300000002284,overlap
21,It,60.156,59.412688,59.775063,0.38093699999999586,59.775063,0.38093699999999586,overlap,59.775063,0.38093699999999586,overlap,59.777687,0.37831299999999857,overlap,60.150312,0.005687999999999249,overlap,60.151625,0.004374999999996021,overlap
281,You,843.863,843.18,843.494688,0.3683120000000599,843.4575,0.4055000000000746,overlap,843.494688,0.3683120000000599,overlap,843.52175,0.3412500000000591,overlap,843.88575,-0.022749999999973625,overlap,843.886188,-0.023187999999890962,overlap
381,It,1180.822,1179.811312,1180.23,0.5919999999998709,1180.229812,0.592187999999851,overlap,1180.23,0.5919999999998709,overlap,1180.23,0.5919999999998709,overlap,1180.814125,0.00787499999978536,overlap,1180.814437,0.0075629999998909625,overlap
119,You,358.455,357.397,357.948688,0.5063119999999799,357.948562,0.5064380000000028,overlap,357.948688,0.5063119999999799,overlap,357.94875,0.5062499999999659,overlap,358.447812,0.007187999999985095,overlap,358.450562,0.004437999999993281,overlap
1,You,2.409,0.647,1.404937,1.0040629999999997,1.404937,1.0040629999999997,overlap,1.404937,1.0040629999999997,overlap,1.404937,1.0040629999999997,overlap,1.423375,0.9856249999999998,overlap,1.423812,0.9851879999999997,overlap
70,You,210.032,209.314125,209.694187,0.33781300000001124,209.694063,0.3379370000000108,overlap,209.694187,0.33781300000001124,overlap,209.705563,0.32643699999999853,overlap,210.04,-0.007999999999981355,overlap,210.042687,-0.010686999999990121,overlap
169,He,503.994,503.086437,503.586625,0.4073750000000018,503.5865,0.4075000000000273,overlap,503.586625,0.4073750000000018,overlap,503.73675,0.25725000000005593,overlap,504.001875,-0.00787499999995589,overlap,504.031063,-0.03706299999998919,overlap
77,When,232.191,231.435438,231.795125,0.39587499999998954,231.795063,0.39593700000000354,overlap,231.795125,0.39587499999998954,overlap,232.215313,-0.02431300000000647,overlap,232.216188,-0.025187999999985777,overlap,232.218125,-0.027124999999983856,overlap
36,Certain,106.073,105.073188,105.630562,0.44243799999999567,105.630437,0.4425629999999927,overlap,105.630562,0.44243799999999567,overlap,105.630688,0.44231199999998694,overlap,105.63075,0.44224999999998715,overlap,106.110563,-0.037563000000005786,overlap
228,They,676.012,675.138625,675.578875,0.4331249999999045,675.57875,0.43324999999992997,overlap,675.578875,0.4331249999999045,overlap,675.578875,0.4331249999999045,overlap,675.578938,0.4330619999999499,overlap,676.020437,-0.008437000000071748,overlap
117,A,350.041,349.360375,349.713313,0.327686999999969,349.673688,0.3673119999999699,overlap,349.713313,0.327686999999969,overlap,350.041625,-0.0006250000000136424,overlap,350.041938,-0.0009380000000192013,overlap,350.042125,-0.001125000000001819,overlap
30,You,87.792,86.659,87.429187,0.3628130000000027,87.429,0.36299999999999955,overlap,87.429187,0.3628130000000027,overlap,87.60725,0.18475000000000819,overlap,87.821375,-0.029375000000001705,overlap,87.826625,-0.03462500000000546,overlap
224,You,666.765,665.771187,666.396187,0.3688129999999319,666.396187,0.3688129999999319,overlap,666.396187,0.3688129999999319,overlap,666.396187,0.3688129999999319,overlap,666.396187,0.3688129999999319,overlap,666.408125,0.35687499999994543,overlap
351,or,1086.063,1085.336687,1085.72125,0.3417500000000473,1085.625313,0.4376870000000963,overlap,1085.72125,0.3417500000000473,overlap,1086.020563,0.04243700000006356,overlap,1086.021688,0.041312000000061744,overlap,1086.022875,0.040124999999989086,overlap
233,When,687.062,686.085063,686.716312,0.34568799999999555,686.675187,0.386812999999961,overlap,686.716312,0.34568799999999555,overlap,687.101125,-0.03912500000001273,overlap,687.103875,-0.04187500000000455,overlap,687.104125,-0.04212499999994179,overlap
398,and,1256.262,1255.524125,1255.855625,0.40637500000002547,1255.855625,0.40637500000002547,overlap,1255.855625,0.40637500000002547,overlap,1255.858062,0.4039379999999255,overlap,1256.2585,0.003500000000030923,overlap,1256.258687,0.0033129999999346182,overlap
181,Your,539.391,538.474812,538.922625,0.4683749999999236,538.922438,0.4685619999999062,overlap,538.922625,0.4683749999999236,overlap,539.063375,0.3276250000000118,overlap,539.389688,0.0013119999999844367,overlap,539.390375,0.0006250000000136424,overlap
257,that,751.482,750.736875,751.001125,0.4808749999999691,748.003875,3.4781249999999773,fallback_nearest_prior,751.001125,0.4808749999999691,overlap,751.089313,0.39268700000002354,overlap,751.500688,-0.018687999999997373,overlap,751.517187,-0.03518700000006447,overlap
260,You,766.464,765.370125,766.1275,0.3365000000000009,765.998438,0.46556200000009085,overlap,766.1275,0.3365000000000009,overlap,766.466563,-0.00256299999989551,overlap,766.469125,-0.0051249999999072315,overlap,766.469563,-0.005562999999938256,overlap
418,Eyes,1325.221,1324.282062,1324.699188,0.5218119999999544,1324.699125,0.521874999999909,overlap,1324.699188,0.5218119999999544,overlap,1324.699313,0.521686999999929,overlap,1325.174,0.047000000000025466,overlap,1325.174188,0.04681200000004537,overlap
246,Then,722.251,721.627875,721.92575,0.3252499999999827,720.32725,1.9237499999999272,fallback_nearest_prior,721.92575,0.3252499999999827,overlap,722.239625,0.011374999999929969,overlap,722.240188,0.010811999999987165,overlap,722.250063,0.000937000000021726,overlap
400,You,1267.352,1266.248687,1267.045687,0.3063130000000456,1266.996375,0.3556250000001455,overlap,1267.045687,0.3063130000000456,overlap,1267.3525,-0.0004999999998744897,overlap,1267.355,-0.0029999999999290594,overlap,1267.357688,-0.005687999999963722,overlap
69,You,207.293,206.417375,207.011562,0.2814380000000085,206.936313,0.35668699999999376,overlap,207.011562,0.2814380000000085,overlap,207.038313,0.2546870000000183,overlap,207.306625,-0.01362499999999045,overlap,207.309,-0.015999999999991132,overlap
86,Not,257.143,256.447875,256.854688,0.28831199999996215,256.725563,0.4174369999999499,overlap,256.854688,0.28831199999996215,overlap,256.882063,0.2609369999999558,overlap,257.134187,0.00881299999997509,overlap,257.13475,0.008249999999975444,overlap
159,The,471.261,470.53525,470.936438,0.32456200000001445,470.897812,0.3631880000000365,overlap,470.936438,0.32456200000001445,overlap,470.978125,0.28287500000004684,overlap,471.27475,-0.013749999999959073,overlap,471.274875,-0.013874999999984539,overlap
42,You,128.153,127.307125,127.82275,0.3302499999999924,127.81975,0.3332499999999925,overlap,127.82275,0.3302499999999924,overlap,127.822812,0.3301879999999926,overlap,127.822875,0.33012499999999534,overlap,127.823188,0.3298119999999898,overlap
420,You,1332.261,1331.579688,1331.9475,0.31349999999997635,1331.947063,0.3139369999998962,overlap,1331.9475,0.31349999999997635,overlap,1331.947625,0.3133749999999509,overlap,1332.249,0.011999999999943611,overlap,1332.251438,0.00956199999995988,overlap
301,Accepting,905.811,904.49475,905.2805,0.5305000000000746,905.280375,0.5306249999999864,overlap,905.2805,0.5305000000000746,overlap,905.802625,0.00837500000000091,overlap,905.802813,0.008187000000020817,overlap,905.803063,0.007937000000083572,overlap
214,You,630.661,629.656438,630.322813,0.33818699999994806,630.322813,0.33818699999994806,overlap,630.322813,0.33818699999994806,overlap,630.32425,0.33674999999993815,overlap,630.638125,0.02287499999999909,overlap,630.64075,0.020249999999919055,overlap
203,You,596.411,595.271375,595.9015,0.509499999999889,595.901438,0.5095619999999599,overlap,595.9015,0.509499999999889,overlap,596.133875,0.27712499999995543,overlap,596.411125,-0.00012500000002546585,overlap,596.413875,-0.0028750000000172804,overlap
397,You,1251.662,1250.454625,1251.319187,0.3428129999999783,1251.109813,0.5521870000000035,overlap,1251.319187,0.3428129999999783,overlap,1251.6825,-0.0204999999998563,overlap,1251.685187,-0.023187000000007174,overlap,1251.686125,-0.02412499999991269,overlap
304,You,916.51,915.659313,916.219313,0.2906869999999344,916.121438,0.388561999999979,overlap,916.219313,0.2906869999999344,overlap,916.51575,-0.005750000000034561,overlap,916.516188,-0.0061880000000655855,overlap,916.519,-0.009000000000014552,overlap
268,That,803.901,802.860437,803.570625,0.33037500000000364,803.570438,0.33056199999998626,overlap,803.570625,0.33037500000000364,overlap,803.57375,0.3272499999999354,overlap,803.575438,0.3255619999999908,overlap,803.925187,-0.024187000000097214,overlap
442,They,1404.223,1403.24125,1403.90175,0.3212499999999636,1403.90175,0.3212499999999636,overlap,1403.90175,0.3212499999999636,overlap,1403.90175,0.3212499999999636,overlap,1403.901875,0.32112499999993815,overlap,1403.901938,0.3210619999999835,overlap
390,You,1219.312,1217.886438,1218.954,0.35799999999994725,1218.953875,0.3581249999999727,overlap,1218.954,0.35799999999994725,overlap,1219.101938,0.21006199999987984,overlap,1219.328625,-0.016625000000203727,overlap,1219.328625,-0.016625000000203727,overlap
423,She,1340.741,1339.916563,1340.462313,0.2786869999999908,1340.434125,0.3068749999999909,overlap,1340.462313,0.2786869999999908,overlap,1340.710875,0.03012499999999818,overlap,1340.728125,0.012874999999894499,overlap,1340.747313,-0.006313000000091051,overlap
